sample-id	PCR_result	sex	date	Local	Metapopulation	Latitude	Longitude	Especie	antes_key	Gut	Host	ID_bitacora	Secuenciacion
HePy9Gh-Si-1576-19-S85-L001-R1-001	cry1	macho	25/01/13	Mazatlan, Teleria	Pacifico Norte	.23..2373.	.-106..4422.	mimus	HePy9Gh_Si_1576_19	.6..38.	.12..5.	110	1
HePy9Gh-Si-1576-18-S61-L001-R1-001	cry1	macho	25/01/13	Mazatlan, Teleria	Pacifico Norte	.23..2373.	.-106..4422.	mimus	HePy9Gh_Si_1576_18	.2..62.	.11..2.	112	1
HePy9Gh-Si-1576-15-S51-L001-R1-001	cry1	hembra	01/2013	Mazatlan, Teleria	Pacifico Norte	.23..2373.	.-106..4422.	mimus	HePy9Gh_Si_1576_15	out range high	.12..5.	78	1
HePy9Gh-Si-1576-14-S16-L001-R1-001	cry1	macho	25/01/13	Mazatlan, Teleria	Pacifico Norte	.23..2373.	.-106..4422.	mimus	HePy9Gh_Si_1576_14	.14..9.	.11..1.	68	1
HePy9Gh-Si-1576-11-S55-L001-R1-001	cry1	macho	25/01/13	Mazatlan, Teleria	Pacifico Norte	.23..2373.	.-106..4422.	mimus	HePy9Gh_Si_1576_11	.0..65.	.1..09.	113	2
HePy9Gh-Si-1575-20-S58-L001-R1-001	Negativo	macho	25/01/13	Mazatlan, Teleria	Pacifico Norte	.23..2373.	.-106..4422.	mimus	HePy9Gh_Si_1575_20	.9..8.	.11..5.	107	2
HePy9Gh-Si-1575-09-S70-L001-R1-001	Negativo	macho	25/01/13	Mazatlan, Teleria	Pacifico Norte	.23..2373.	.-106..4422.	mimus	HePy9Gh_Si_1575_09	.8..46.	11	100	2
HePy9Gh-Si-1572-22-S43-L001-R1-001	cry1	macho	25/01/13	Mazatlan, Teleria	Pacifico Norte	.23..2373.	.-106..4422.	mimus	HePy9Gh_Si_1572_22	.1..44.	.0..86.	114	2
HePy9Gh-Si-1572-10-S73-L001-R1-001	cry1	macho	01/2013	Mazatlan, Teleria	Pacifico Norte	.23..2373.	.-106..4422.	mimus	HePy9Gh_Si_1572_10	.10..2.	.12..9.	111	1
HePy9Gh-Si-1507-21-S13-L001-R1-001	Negativo	hembra	24/01/13	Mazatlan, Puente Marina	Pacifico Norte	.23..2751.	.-106..4595.	mimus	HePy9Gh_Si_1507_21	.11..1.	.16..2.	125	1
